idx;name;geometryType;count;url
88;E. Primaire;esriGeometryPoint;205;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/16
89;Collége;esriGeometryPoint;24;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/15
90;Lycée;esriGeometryPoint;40;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/24
91;E/C/I Professionnel;esriGeometryPoint;71;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/12
92;Université ;esriGeometryPoint;14;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/14
93;Poste de Santé;esriGeometryPoint;27;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/28
94;Centre de Santé;esriGeometryPoint;26;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/27
95;Clinique parapublique;esriGeometryPoint;6;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/26
96;Hôpital;esriGeometryPoint;8;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/25
97;Limites_moughataa;esriGeometryPolygon;9;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/22
98;Population par Quadrillage 100 x100 m;esriGeometryPolygon;19495;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/nkt2_WFL1/FeatureServer/17
99;Jardin d'enfant;esriGeometryPoint;178;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/0
